Case Number,Address House Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Zip,Date Case Generated,Date Case Closed,Case Type,Response Days,Status of Case,lat,long
701415,2245,W,25TH,ST,90018,11/2/2015,,GENERAL,,O,34.03396,-118.31613
701418,645,W,FLORENCE,AVE,90044,11/2/2015,,GENERAL,,O,33.97482,-118.28502
701420,326,E,98TH,ST,90003,11/2/2015,,GENERAL,,O,33.94718,-118.26859
701625,4847,W,BEVERLY,BLVD,90004,11/3/2015,,GENERAL,,O,34.07634,-118.31507
701638,320,S,HIGHLAND,AVE,90020,11/3/2015,,GENERAL,,O,34.06815,-118.33838
701407,747,E,MANCHESTER,AVE,90001,11/2/2015,,GENERAL,,O,33.96031,-118.26136
701408,7501,S,MAIN,ST,90003,11/2/2015,,GENERAL,,O,33.9716,-118.27408
701427,17828,W,TRIBUNE,ST,91344,11/3/2015,,GENERAL,,O,34.26715,-118.52257
701568,229,W,71ST,ST,90003,11/3/2015,,GENERAL,,O,33.9757,-118.27718
701569,5511,S,BROADWAY,,90037,11/3/2015,,GENERAL,,O,33.99204,-118.27864
701639,15421,W,PLUMMER,ST,91343,11/3/2015,,VEIP,,O,34.24296,-118.46838
701659,17001,W,MOONCREST,DR,91436,11/3/2015,,GENERAL,,O,34.14752,-118.50383
701662,150,N,LARCHMONT,BLVD,90004,11/3/2015,,GENERAL,,O,34.07452,-118.32343
701674,1850,W,80TH,ST,90047,11/3/2015,,GENERAL,,O,33.96628,-118.31085
701677,1770,E,22ND,ST,90058,11/3/2015,,GENERAL,,O,34.01642,-118.24053
701836,13455,W,CREWE,ST,91405,11/4/2015,,CNAP,,O,34.19674,-118.42654
701852,1213,W,66TH,ST,90044,11/4/2015,,GENERAL,,O,33.97924,-118.29639
701863,1241,W,45TH,ST,90037,11/4/2015,,GENERAL,,O,34.00279,-118.2974
701864,3648,S,3RD,AVE,90018,11/4/2015,,GENERAL,,O,34.0214,-118.31997
701866,9688,N,VARNA,AVE,91331,11/4/2015,,GENERAL,,O,34.24642,-118.4444
701944,9757,N,GLENOAKS,BLVD,91352,11/4/2015,,GENERAL,,O,34.24695,-118.38482
701945,714,E,46TH,ST,90011,11/4/2015,,GENERAL,,O,34.00143,-118.26312
701661,916,E,91ST,ST,90002,11/3/2015,,GENERAL,,O,33.95368,-118.25798
701738,1520,S,CARMONA,AVE,90019,11/3/2015,,GENERAL,,O,34.0468,-118.35861
701841,2431,N,SAN MARCO,DR,90068,11/4/2015,,GENERAL,,O,34.1153,-118.33147
701851,2447,N,SOLAR,DR,90046,11/4/2015,,GENERAL,,O,34.11584,-118.35488
701857,1819,N,VISTA,ST,90046,11/4/2015,,GENERAL,,O,34.10412,-118.35198
701865,6345,W,BRYN MAWR,DR,90068,11/4/2015,,GENERAL,,O,34.11306,-118.32759
737215,1613,W,85TH,ST,90047,9/22/2016,,PACE,,O,33.96103,-118.30519
737222,1549,W,85TH,ST,90047,9/22/2016,,PACE,,O,33.96103,-118.30417
737239,1443,W,85TH,ST,90047,9/22/2016,,PACE,,O,33.96104,-118.30182
737241,1433,W,85TH,ST,90047,9/22/2016,,PACE,,O,33.96105,-118.30149
701963,115,W,14TH,PL,90015,11/5/2015,,GENERAL,,O,34.03608,-118.26138
701973,4975,S,CENTRAL,AVE,90011,11/5/2015,,GENERAL,,O,33.9978,-118.25665
701975,25,E,HURRICANE,ST,90292,11/5/2015,,GENERAL,,O,33.97532,-118.46261
701976,340,S,BROADWAY,,90013,11/5/2015,,GENERAL,,O,34.04993,-118.2487
701978,967,S,LORENA,ST,90023,11/5/2015,,GENERAL,,O,34.02605,-118.20226
701984,4467,E,KEWANEE,ST,90032,11/5/2015,,GENERAL,,O,34.08089,-118.18882
701986,15345,W,ROSCOE,BLVD,91402,11/5/2015,,VEIP,,O,,
701987,15345,W,ROSCOE,BLVD,91402,11/5/2015,,VEIP,,O,,
701991,7811,N,IRVINE,AVE,91605,11/5/2015,,GENERAL,,O,34.21241,-118.38572
701993,4030,S,BROADWAY,,90037,11/5/2015,,CNAP,,O,34.01051,-118.27815
701996,7926,N,WISH,AVE,91406,11/5/2015,,GENERAL,,O,34.21474,-118.50623
701999,14728,W,CALVERT,ST,91411,11/5/2015,,GENERAL,,O,34.18151,-118.45412
702000,8231,N,SEPULVEDA,PL,91402,11/5/2015,,GENERAL,,O,34.22064,-118.46637
702006,23821,W,CALVERT,ST,91367,11/5/2015,,GENERAL,,O,34.18194,-118.64551
702007,22848,W,BURBANK,BLVD,91367,11/5/2015,,GENERAL,,O,34.17173,-118.62503
701956,6823,W,DE LONGPRE,AVE,90028,11/4/2015,,GENERAL,,O,34.09625,-118.33943
702011,846,W,29TH,ST,90731,11/5/2015,,GENERAL,,O,33.71897,-118.29648
702012,156,E,79TH,ST,90003,11/5/2015,,GENERAL,,O,33.96776,-118.27196
702016,14550,W,BURBANK,BLVD,91411,11/6/2015,,CNAP,,O,34.17189,-118.4505
702017,19542,W,BASSETT,ST,91335,11/6/2015,,CNAP,,O,34.19592,-118.55938
702071,19100,W,VENTURA,BLVD,91356,11/6/2015,,GENERAL,,O,34.17237,-118.54897
702073,108,E,REES,ST,90293,11/6/2015,,GENERAL,,O,33.95589,-118.44878
702074,4057,N,EAGLE ROCK,BLVD,90065,11/6/2015,,VEIP,,O,34.121,-118.22757
702075,4057,N,EAGLE ROCK,BLVD,90065,11/6/2015,,VEIP,,O,34.121,-118.22757
702179,4107,S,BROADWAY,,90037,11/6/2015,,GENERAL,,O,34.00894,-118.27858
702032,5702,S,BROADWAY,,90037,11/6/2015,,GENERAL,,O,33.99041,-118.27809
702197,503,E,33RD,ST,90011,11/6/2015,,GENERAL,,O,34.01709,-118.26644
702235,12515,W,SHERMAN,WAY,91605,11/9/2015,,GENERAL,,O,34.20136,-118.40573
702246,944,W,20TH,ST,90007,11/9/2015,,GENERAL,,O,34.03602,-118.28011
702258,952,N,LUCILE,AVE,90026,11/9/2015,,GENERAL,,O,34.08661,-118.2817
702034,645,E,MANCHESTER,AVE,90001,11/6/2015,,GENERAL,,O,33.9603,-118.26346
702208,17854,W,VALERIO,ST,91335,11/6/2015,,GENERAL,,O,34.20466,-118.52269
702037,4210,W,TRACY,ST,90027,11/6/2015,,GENERAL,,O,34.10818,-118.28236
737254,901,E,YOAKUM,ST,90032,9/22/2016,,GENERAL,,O,34.09485,-118.18198
737256,13427,W,INWOOD,DR,91423,9/22/2016,,GENERAL,,O,34.14007,-118.42532
737273,1245,W,84TH,ST,90044,9/22/2016,,PACE,,O,33.96284,-118.2974
737290,1321,W,84TH,ST,90044,9/22/2016,,PACE,,O,33.96257,-118.29894
737293,1321,W,84TH,ST,90044,9/22/2016,,PACE,,O,33.96257,-118.29894
702259,2301,W,MARTIN LUTHER KING,BLVD,90008,11/9/2015,,VEIP,,O,34.01097,-118.31865
702262,14625,W,PARTHENIA,ST,91402,11/9/2015,,GENERAL,,O,34.22779,-118.45088
702278,542,E,SUNSET,AVE,90291,11/9/2015,,GENERAL,,O,33.99703,-118.47124
702284,2172,W,FLORENCE,AVE,90047,11/9/2015,,VEIP,,O,33.97442,-118.31743
702297,433,S,BEVERLY GLEN,BLVD,90024,11/9/2015,,GENERAL,,O,34.07427,-118.43162
702299,3922,W,SUNSET,BLVD,90029,11/10/2015,,GENERAL,,O,34.09204,-118.28023
702308,2701,S,GLENDON,AVE,90064,11/10/2015,,GENERAL,,O,34.03542,-118.42358
702316,8357,W,YUCCA,TR,90046,11/10/2015,,GENERAL,,O,34.10436,-118.37239
702318,3028,W,74TH,ST,90043,11/10/2015,,GENERAL,,O,33.97258,-118.32622
702320,2626,W,54TH,ST,90043,11/10/2015,,VEIP,,O,33.99303,-118.32233
702322,2050,W,MANCHESTER,AVE,90047,11/10/2015,,VEIP,,O,33.9598,-118.3152
702326,9014,N,SWINTON,AVE,91343,11/10/2015,,GENERAL,,O,34.23435,-118.48607
702301,332,E,74TH,ST,90003,11/10/2015,,GENERAL,,O,33.9729,-118.26831
702286,3307,N,DERONDA,DR,90068,11/9/2015,,GENERAL,,O,34.12776,-118.31952
702287,6248,W,PRIMROSE,AVE,90068,11/9/2015,,GENERAL,,O,34.10956,-118.32486
702416,5408,W,ADAMS,BLVD,90016,11/10/2015,,GENERAL,,O,34.03231,-118.36083
