Case Number,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,lat,long,year
404932,10217,,S,HOBART,BLVD,,90047,1/27/2011,2/12/2013,091-5A193 216,GENERAL,South Los Angeles,747,O,33.94352,-118.30799,2011
685473,7100,,S,BROADWAY,,,90003,6/5/2015,,102B201   711,GENERAL,South Los Angeles,,O,,,2015
405183,1217,,W,187TH,PL,,90248,2/1/2011,,060B197   418,GENERAL,Harbor,,O,33.86065,-118.29499,2011
685619,7828,,S,SAN PEDRO,ST,,90003,6/5/2015,,099B205   586,GENERAL,South Los Angeles,,O,33.96793,-118.26936,2015
685620,1187,,S,CRENSHAW,BLVD,,90019,6/5/2015,,129B189   590,GENERAL,Central,,O,34.05008,-118.32573,2015
685934,328,,E,71ST,ST,,90003,6/15/2015,,102B205   712,GENERAL,South Los Angeles,,O,33.97535,-118.26844,2015
404732,8545,,W,LA TUNA CANYON,ROAD,,91352,1/26/2011,,198B189    99,CITATIONS,North Valley,,O,34.23712,-118.31965,2011
686000,1523,,S,CRENSHAW,BLVD,,90019,6/16/2015,,126B185    64,GENERAL,South Los Angeles,,O,34.04523,-118.32837,2015
689124,23061,,W,CANZONET,ST,,91367,7/17/2015,,171B097   279,GENERAL,South Valley,,O,34.16669,-118.6296,2015
689127,7053,,N,CANBY,AVE,,91335,7/17/2015,,183B125   403,GENERAL,South Valley,,O,34.19905,-118.53489,2015
405184,8913,,S,WESTERN,AVE,,90047,2/1/2011,,096A193   219,GENERAL,South Los Angeles,,O,33.95587,-118.30921,2011
405327,15336,,W,ROSCOE,BLVD,,91402,2/2/2011,,192B145   431,CNAP,North Valley,,O,34.22126,-118.46691,2011
689142,2052,,N,WOLLAM,ST,,90065,7/20/2015,,150A217   170,GENERAL,East Los Angeles,,O,34.10577,-118.22823,2015
